ticker	market cap	industry	sector	current price	gross margin	net income margin	expenses portion	ROE	ROA	receivables turnover days	inventories turnover days	total assets turnover days	liability/asset ratio	current ratio	acid-test ratio	revenue growth	net income growth	operating income growth	free cash flow growth	wacc	roic	excess return	economic profit	stockholders equity growth	dividend yield	dividend payout ratio	dcf	beta	annual return	annual risk
ALIM	2.8127428E7	Drug Manufacturers	Healthcare	5.59	0.9070031680430001	-0.6974022648054768	1.5691890905326846	-1.520915271732277	-0.356927778107301	115.19669531006475	171.35664252820067	715.6889126842052	0.8102682621817925	3.3031433710717137	3.1843322811103785	0.5392780988116328	0.20376405533806627	0.2756597491364085	0.35050853174344393	0.6908246649880595	-0.4483551171557342	-1.1391797821437935	-56670742.94327154	-0.8727641213105921	0.0	0.0	-29.812074203723174	10.174835619101515	0.4484224922434883	0.9659937052268419
FLXS	7.128588E7	Manufacturing - Apparel & Furniture	Consumer Cyclical	8.91	0.21057561431940003	0.021915113054283973	0.16920162288265606	0.05049286505652599	0.042265079273521494	33.269343414355	97.14766716796775	195.15625200182174	0.17497717212296132	4.39664577048045	2.0411917512006594	-0.00824155403286635	-0.6069256155337424	-0.6037245269828635	-1.0623402686871497	0.11914624365683069	0.049061785057638495	-0.07008445859919218	-14822659.313541006	0.03021589997817444	0.024649936761798878	0.175798962037575	2.939103061278996	1.2026441807331587	-0.19717667054574659	0.4327024539486121
CPK	1.45785536E9	Utilities - Regulated	Utilities	88.7	1.0	0.09759146396441237	0.8339234514519835	0.11193968204536824	0.03715881492269934	41.91120122763413	0.0	881.9360211696661	0.6675671154416808	0.38771124340992935	0.33933640231902634	0.015020854775093096	0.13035756407925259	0.11527491201469302	-0.4846643548685621	0.04509464619814668	0.10780608172898568	0.062711435530839	30782273.25765719	0.13550561216578508	0.016285237474550584	0.3779653941227421	-190.13575801814855	0.3698555466729388	0.10911676295950523	0.18459419114875605
HRTG	3.39955808E8	Insurance - Property & Casualty	Financial Services	12.05	0.514751619123	0.08425722925850514	0.1538660001331764	0.09575434224925602	0.03454709889773148	38.7866625633721	0.0	1048.863459938088	0.708295516220413	1.554216675571314	1.554216675571314	0.19447342933667452	4.923809149144319	0.07819784715629481	2.1193753096306813	0.0629336036478321	0.08658277421727194	0.023649170569439833	5464380.487702851	0.12755461758865794	0.014152584620726844	-1.3385645470477336	77.67972716981195	0.7810450939678845	-0.04822599698851142	0.3553284674085359
CTBI	5.7041498E8	Banks	Financial Services	32.01	1.0	0.38877830987107653	0.0	0.09983697299704028	0.0130524926535508	3.7375435690375127	0.0	10434.171281515628	0.869491221444908	3.1802965100486995	3.1802965100486995	0.018784769891391884	0.08414465432998712	0.029045572931720408	0.08411977765703156	0.09285940161819786	0.08696895135716966	-0.005890450261028221	-3864937.4819281087	0.06551093116364277	0.0313609075487721	0.4385455038770879	53.571795841495344	0.7805825367344426	0.013755978665238058	0.22856431793254225
SPWH	3.3210256E8	Travel & Leisure	Consumer Cyclical	7.67	0.3345453478536	0.029754904839372272	0.27331036591052504	-2.3314287661929836	0.06358342138934624	0.190689182028222	167.54820841049028	162.1424527617452	0.8815799408179117	1.5362995910392128	0.07624372144904856	0.06104200068848957	0.1741718393930354	-0.036554983584238566	-1.710886354522474	0.060322763102901064	0.1568655980475294	0.09654283494462833	14563245.232621048	3.6292479972309764	0.0	0.0	6.560836576041683	0.5027412864214497	0.09622606674578131	0.550327884283121
VMD	2.66086752E8	Medical Devices	Healthcare	7.05	0.7265806353003333	0.14545536639071208	0.5533627822478139	0.2766405697505347	0.1700901643206462	32.79660976895277	27.129908518461548	183.55250939673564	0.39548316719393534	1.2395042052210066	1.123940594124185	0.20681888925023828	0.027471296377663917	0.019875436527797035	0.11787311795174064	0.2663493241261428	0.23597354390710698	-0.030375780219035847	-2896081.8790007285	0.24093773234895535	0.0	0.0	2.647863689433559	3.8504527174280305	0.06136999303270723	0.5916608460716153
PBIO	1.0221558E7	Medical Devices	Healthcare	3.69	0.497730394429	-4.133182440206413	3.1952760033620016	0.9072051538085223	-4.239547205693229	47.38655682527765	337.2485134952904	341.18177272516016	6.107524189083399	0.1338266319289674	0.05507551296429678	0.07482329180191091	-0.6077165173665511	-0.12397650631552892	-0.15990026115319625	0.5548116092647442	1.630583396551651	1.0757717872869068	-3410825.0676014745	-0.8110688739622052	0.0	0.0	-5.604332740868651	1.3017911735473222	0.3279803485816493	1.1466990654794462
BBW	3.2686642E7	Retail - Apparel & Specialty	Consumer Cyclical	2.11	0.3619592722108	-0.005321490100791924	0.3548338854335649	-0.019907824683548576	-0.011294949697070676	0.0	73.19242703194193	147.4616248751227	0.42301218771397836	1.1662272653706236	0.5569210690971754	-0.021353643789297317	0.30964560522456797	-0.06909404376009098	0.8047589462570709	0.11766628667833681	-0.016091461049825763	-0.13375774772816257	-16952452.14456405	-0.19610580286215323	0.0	0.0	-7.421611145296087	2.0580741940695995	-0.14814373565295336	0.6777875336836141
RWT	4.82319584E8	REITs	Real Estate	4.2	0.9817200452016	0.9015839611457146	0.6458631513991173	0.1000662282368278	0.015936925305030325	80.47711932256763	0.0	20805.068658609416	0.8439381761950289	3.0250409711655117	3.0250409711655117	18.14005426041711	0.1273823777927286	0.14422487332784778	-0.18761625903462936	0.04749434774705239	0.02080060540069782	-0.02669374234635457	-208682367.76627344	0.0874586111181658	0.07815672664440246	0.7613478275770224	-1153352603.602137	1.1313475433955995	-0.15258991550185644	0.3751032840066122
