ticker	market cap	industry	sector	current price	gross margin	cost margin	net income margin	expenses margin	ROE	ROA	receivables turnover days	inventories turnover days	total assets turnover days	liability/asset ratio	current ratio	acid-test ratio	revenue growth	net income growth	operating income growth	free cash flow growth	wacc	roic	excess return	economic profit	stockholders equity growth	dividend yield	dividend payout ratio	dcf	beta	annual return	annual risk
JWN	2.46244941E9	Retail - Apparel & Specialty	Consumer Cyclical	15.75	0.3387482594426	0.6612517405573877	0.03225876134292471	0.29979152565417355	0.5391470160512939	0.059860341877183074	5.58485142342592	70.22387121364214	192.37551954433602	0.8888994751547965	1.0172623759981878	0.4090844285918792	0.02869011688100622	-0.034430583349356315	-0.034430583349356315	0.33237054840242897	0.1053681813810575	0.13445006348678984	0.029081882105732322	105641373.28464851	-0.10124406169176244	0.051850243118408613	64.30245045486463	1.4047489064817673	-0.17207579236184398	0.4442961486815408
PSLV	1.02268442E9	Asset Management	Financial Services	6.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031787880131856625	2270.5520659864465	2270.5520659864465	0.0	0.0	-1.9840576232194767	0.017604601616933648	0.0	0.0	0.0	0.0	-0.059300675018747764	0.0	0	0.2970093925899297	0.02348492166255964	0.2413942054411635
LITB	8.830304E7	Retail - Apparel & Specialty	Consumer Cyclical	0.79	0.33853999999999995	0.6614582993801338	-0.10434833783025435	0.4243091558492294	5.040810546822607	-0.3468301665046557	2.1386267761982043	18.821522171674108	118.65067592763539	0.7266251987972402	1.4106216238133595	1.2391212446291346	-0.02744565040393625	-2.0189960559566744	-1.4943639570441263	-1.036860582230436	0.03036277458674258	3.242415233826822	3.2120524592400796	-30701194.42668449	5.838832961698744	0.0	-26.25912805173969	0.1783105652470276	-0.1757003742273047	0.6587785577657768
PTVCB	1.89321616E8	Insurance—Property & Casualty	Financial Services	12.37	0.3404593581348	0.6595406418651949	0.03208026940069071	0.12206502946474604	0.01976531456298296	0.008330746771040145	55.53781343414928	0.0	1229.2725893542495	0.7031648823669651	7.377600830390112	7.377600830390112	0.11462096321181998	-0.3968742243432629	-0.9737457913616687	0.6301409111781531	0.061932031158000035	0.01893008553064842	-0.04300194562735161	-16493888.915320328	-0.01568568789527005	0.04359507660611822	138.07530221197854	0.5860119218070833	-0.0811480341902035	0.24053270457277925
SOHU	3.17291104E8	Online Media	Technology	8.08	0.5000600000000001	0.4999282121999006	-0.12878829361839242	0.5697830259613588	-0.28294525279158356	-0.07479203607377669	47.0532477950414	0.0	594.6466924151903	0.4454762288073339	2.0059908055516735	2.0059908055516735	0.06881138068477395	-2.6944782535181524	-0.7376538153539718	0.23745973749130575	0.14219859856663977	-0.2358635485655527	-0.3780621471321925	-396342472.8170082	-0.1441881280561284	0.0	52.13595477548292	1.7226900177832964	-0.28402180318011583	0.4938114888396415
MFAC-WSTDC	2.17759488E9	Computer Hardware	Technology	20.07	0.5015672582227999	0.29984607098637656	-0.011699357392862406	0.4348820771282146	-0.04787144046124541	-0.01120122212404993	91.89896845117835	27.15280304822594	401.18081516398007	0.7327123317407648	1.6498255083825846	1.6120221513212751	-0.06927797505634425	-0.35077991802681563	-0.20352703160368688	-0.27744842163428185	0.09162054128238148	-0.02375413233198475	-0.11537467361436624	-136701113.53053322	-0.2801352550576949	0.0	-0.06763280289440789	1.0014874034555754	-0.07443135795967074	0.3204410357241111
SRLP	3.15877568E8	Oil & Gas - Refining & Marketing	Energy	13.78	0.08509186818006001	0.9149081318199584	0.013435323800056931	0.05158891355520926	0.34365785124944737	0.03972151671023473	28.875130892921497	38.35650951840333	133.77289181992984	0.8876856692245065	1.2332469407910183	0.7239812024824184	-0.03652100669290772	0.353363843885332	0.0429864304693758	20.284548818878243	0.07639591830313207	0.0633131906871516	-0.013082727615980463	-4481316.273884177	-0.013993262943425334	0.11726876868254602	88.49507677905846	1.032709118834435	-0.06213793702110273	0.4006614420490968
ACB	1.02612992E9	Drug Manufacturers—Specialty & Generic	Healthcare	14.65	0.9877333333333332	0.012250664094587823	-1.3599860496303873	3.0518378233557812	-0.32995840007719396	-0.11133325482125626	45.80333055935271	265.1223536233736	3812.8294866928013	0.35165130908769154	1.7003043171055394	1.385636768675253	13.472840253765993	2.0284376873018273	-7.30622029488232	-8.580744441739647	-47.136527980123525	-0.12451471825902793	-47.35050959338377	-120485802370.14119	85.80385911112218	0.0	0.0008039303476866755	-911.3336771022257	525.6649509620396	1166.0572625866016
GWB	6.5301498E8	Banks	Financial Services	11.87	1.0	0.0	0.3624297709806802	0.31641183722207983	0.08080065305918796	0.012030288626708427	43.95788518522836	0.0	10414.260172524742	0.851238702883577	17.272385926593405	17.272385926593405	0.03370154064653334	0.09910843717374243	0.06614249786800197	0.07478445501968452	0.12882334419501587	0.07614045856433468	-0.05268288563068117	-97026995.25072147	0.060599032888147476	0.02064683239132477	33.2046571987403	1.1730873511828668	-0.05094062491931162	0.3521216207533792
FLNT	1.42695008E8	Advertising Agencies	Communication Services	1.88	0.3102508310068	0.6897491689929934	-1.2948593874103085	0.9464746481870845	-0.17391751348589463	-0.1240125723657323	107.92206164649573	0.0	1136.1197973898265	0.29469924577560463	1.756614428183454	1.756614428183454	3.2775067173107724	-4.307009197760101	-2.123853177104388	2.8015445848972056	0.19480319360796322	-0.14960575011334795	-0.3444089437213112	-84832092.80573867	5.317135400626475	0.0	58679.38960579705	2.2401685945205543	-0.057031963881755646	0.7541842445704267
